"Timestamp","1- Gender:","2- On which do you play the most?","3- What Game genres do you play the most?","4- How often do you play video games?","5- How many hours do you spend playing video games in one day?","6- Do you prefer to play alone or with your friends (either online or offline)?","7- Do you play for a professional team or take part in professional gaming tournaments?","8- Mainly, why do you play video games?","9- How many hours do you sleep at night every day?","10- Do you have difficulty sleeping?","11- How long does it usually take you to sleep after going to bed?","12- Do you randomly wake up in the middle of the night?","13- How many times do you wake up in one night?","14- Do you believe there is a direct correlation between gaming addiction and Insomnia?","15- Do you feel exhausted after waking up in the morning?","16- Do you have trouble focusing or paying attention during the day?","17- Did you notice any changes in your sleep schedule after starting to play video games?","18- What changes did you notice in your sleep routine? ","19- How do you think video games affect your sleep?","20- Did you try to reduce gaming time to enhance your sleep quality?","21- If “yes”, what results did you observe after reducing your gaming time?","22- From your perspective, can you determine the role of media in spreading awareness about the effects of video games on the increasing rates of insomnia? ","23- What are your suggestions regarding this matter?"
"2024/03/20 9:49:51 pm GMT+3","Female.","Mobile.","Fighting games.;Survival games.;Open-world games.","Regularly (several times a week).","1-3 hours.","Alone.","No.","To beat boredom.","More than 8 hours.","Occasionally.","Less than 1 hour.","Occasionally.","Twice or 3 times maximum.","Maybe.","Yes.","Occasionally.","I don't know.","Feeling tired/exhausted.;Difficulty focusing.;Sudden mood swings.","Excitement and constant stimulation from gaming make it difficult to relax and sleep.;Low physical activity while gaming causes irregularities in sleep.","Yes.","Enhanced sleep quality.;Elevated mood.","Good.",""
"2024/03/20 9:51:42 pm GMT+3","Male.","sony.","Shooting games.;Fighting games.;Survival games.","Regularly (several times a week).","4-6 hours.","Alone.","Planning on playing professionally.","To relieve stress and tension.","6-8 hours.","Rarely.","1 to 3 hours.","Occasionally.","Twice or 3 times maximum.","Maybe.","Occasionally.","Rarely.","No.","Lack of sleep.","No","Yes.","Better attention.","Good.",""
"2024/03/20 9:52:17 pm GMT+3","Female.","Mobile.","Shooting games.;Simulator games.;Sports games.","sometimes (once or twice a week).","1-3 hours.","Together.","No.","To beat boredom.","3-6 hours.","Occasionally.","Less than 1 hour.","Yes.","Twice or 3 times maximum.","Yes.","Occasionally.","Yes.","Maybe.","Repeatedly waking up during the night.","Blue light emitted from screens prevents melatonin.","Yes.","Enhanced sleep quality.","Average.",""
"2024/03/20 9:52:42 pm GMT+3","Female.","Personal Computer (PC).","Action Games.;Sports games.","Regularly (several times a week).","4-6 hours.","Together.","Yes.","To beat boredom.","6-8 hours.","Yes.","Less than 1 hour.","Yes.","I don’t.","No.","Yes.","Yes.","Yes.","Difficulty sleeping.","Blue light emitted from screens prevents melatonin.","Yes.","Enhanced sleep quality.","Weak.",""
"2024/03/20 10:05:16 pm GMT+3","Female.","Mobile.","RGP games.;Action Games.;Survival games.","Regularly (several times a week).","1-3 hours.","Together.","Yes.","To beat boredom.","6-8 hours.","Occasionally.","1 to 3 hours.","Occasionally.","I don’t.","Maybe.","Occasionally.","Occasionally.","Maybe.","Difficulty sleeping.;Repeatedly waking up during the night.;Difficulty focusing.","Excitement and constant stimulation from gaming make it difficult to relax and sleep.","No.","","Average.","Stay away from the video games"
"2024/03/20 10:17:14 pm GMT+3","Female.","Mobile.","Shooting games.;Survival games.;Open-world games.","sometimes (once or twice a week).","1-3 hours.","Together.","No.","To beat boredom.","More than 8 hours.","Rarely.","1 to 3 hours.","Rarely.","Twice or 3 times maximum.","Maybe.","Rarely.","Rarely.","Maybe.","Difficulty sleeping.;Lack of sleep.;Sudden mood swings.","Low physical activity while gaming causes irregularities in sleep.","No.","","Weak.",""
"2024/03/20 10:18:54 pm GMT+3","Female.","Mobile.","Shooting games.;Fighting games.;Open-world games.","Rarely (once or twice a month).","1-3 hours.","Together.","No.","To beat boredom.","3-6 hours.","Occasionally.","1 to 3 hours.","Rarely.","Twice or 3 times maximum.","Maybe.","Yes.","Occasionally.","Yes.","Lack of sleep.;Feeling tired/exhausted.;Sudden mood swings.","Blue light emitted from screens prevents melatonin.;Low physical activity while gaming causes irregularities in sleep.","Yes.","Increased productivity.","Outstanding.","i have no suggestions! good luck you guys <3"
"2024/03/20 10:20:48 pm GMT+3","Female.","Mobile.","Open-world games.","Daily.","1-3 hours.","Together.","No.","To beat boredom.","More than 8 hours.","Never.","Less than 1 hour.","Never.","I don’t.","Maybe.","Rarely.","Occasionally.","No.","Feeling tired/exhausted.;Difficulty focusing.","Blue light emitted from screens prevents melatonin.;Low physical activity while gaming causes irregularities in sleep.","No.","","Average.",""
"2024/03/20 10:21:09 pm GMT+3","Female.","Mobile.","Sports games.","Rarely (once or twice a month).","1-3 hours.","Together.","No.","To beat boredom.","6-8 hours.","Rarely.","Less than 1 hour.","Rarely.","I don’t.","Yes.","Occasionally.","Rarely.","I don't know.","Feeling tired/exhausted.;","Low physical activity while gaming causes irregularities in sleep.","Yes.","Enhanced sleep quality.;Better attention.","Good.",""
"2024/03/20 10:22:14 pm GMT+3","Female.","Mobile.","Shooting games.","Daily.","4-6 hours.","Together.","Planning on playing professionally.","To socialise and play with friends.","6-8 hours.","Never.","Less than 1 hour.","Never.","I don’t.","I don't know.","Never.","Never.","No.","Repeatedly waking up during the night.","Disordered sleeping schedule as a result of gaming late at night.","Yes.","Better attention.","Good.","Awesome "
